STATION,ICAO,L,AT,,LO,NG,,ELEV,M
ROBERTS INTL/MON,GLRB,6,15,N,10,20,W,18,X
ROBERVAL AIRPORT,CYRJ,48,31,N,72,16,W,179,X
ROBINSON CRUSOE,SCIR,33,40,S,78,56,W,29,X
ROBINSON MUNI,KRSV,39,1,N,87,39,W,141,X
ROBORE (CIV/MIL),SLRB,18,19,S,59,45,W,284,X
ROBSTOWN/NUECES,KRBO,27,47,N,97,41,W,24,X
ROCHELLE/KORITZ,KRPJ,41,53,N,89,5,W,238,X
ROCHESTER,KRCR,41,4,N,86,11,W,241,X
ROCHESTER,KRST,43,54,N,92,30,W,403,X
ROCHESTER,QFMM,44,1,N,92,28,W,304,X
ROCHESTER,QJAM,44,4,N,92,29,W,317,X
ROCHESTER,QKGM,44,2,N,92,28,W,319,X
ROCHESTER,QWLM,43,59,N,92,26,W,312,X
ROCHESTER,KDAW,43,17,N,70,55,W,100,X
ROCHESTER,KROC,43,7,N,77,41,W,178,X
ROCK HILL,KUZA,34,59,N,81,3,W,202,X
ROCK SOUND(PRIVA,MYER,24,53,N,76,10,W,3,X
ROCK SPRINGS,KRKS,41,36,N,109,4,W,2060,X
ROCKFORD,KRFD,42,12,N,89,6,W,221,X
ROCKGLEN (MARS),CWKO,49,10,N,105,58,W,917,X
ROCKHAMPTON AIRP,YBRK,23,22,S,150,28,E,14,X
ROCKINGHAM,KRCZ,34,53,N,79,46,W,109,X
ROCKLAND/KNOX,KRKD,44,4,N,69,5,W,17,X
ROCKPORT,KRKP,28,5,N,97,3,W,6,X
ROCKSPRINGS,KECU,29,57,N,100,10,W,725,X
ROCKWALL,KF46,32,56,N,96,26,W,176,X
ROCKWOOD,KRKW,35,55,N,84,41,W,508,X
ROCKY HARBOUR,CXRH,49,34,N,57,53,W,68,X
ROCKY HOUSE (MAR,CWRM,52,25,N,114,55,W,988,X
ROCKY MOUNT,KRWI,35,51,N,77,54,W,47,X
RODELILLO,SCRD,33,4,S,71,33,W,336,X
RODEZ/MARCILLAC,LFCR,44,23,N,2,28,E,580,X
RODRIGUES/PLAINE,FIMR,19,45,S,63,22,E,31,X
ROGERS,KROG,36,22,N,94,5,W,415,X
ROGERS CITY,KPZQ,45,24,N,83,49,W,204,X
ROI ET,VTUR,16,3,N,103,40,E,142,X
ROIET,VTUV,16,7,N,103,47,E,138,X
ROLLA,K06D,48,53,N,99,37,W,556,X
ROLLE PASS,LIVR,46,17,N,11,46,E,2006,X
ROMBLON/TABLAS I,RPMR,12,34,N,122,16,E,47,X
ROME,KRMG,34,21,N,85,10,W,193,X
ROME,KP88,42,53,N,117,39,W,1162,X
ROME,KREO,42,35,N,117,52,W,1235,X
ROME/FIUMICINO,LIRF,41,47,N,12,13,E,3,X
ROME/GRIFFISS AF,KRME,43,13,N,75,24,W,154,X
ROME/URBE (IT-AF,LIRU,41,57,N,12,30,E,24,X
ROMEOVILLE/CHI,KLOT,41,37,N,88,6,W,205,X
ROMORANTIN/PRUNI,LFYR,47,19,N,1,40,E,86,X
RONCHI LEGIONARI,LIPQ,45,49,N,13,28,E,12,X
RONNE,EKRN,55,4,N,14,45,E,16,X
RONNEBY (SWE-AFB,ESDF,56,16,N,15,16,E,74,X
ROOIKOP (SAAF/CI,FYRK,22,58,S,14,39,E,88,X
ROOSEVELT,KU67,40,17,N,109,58,W,1556,X
ROOSEVELT RD NAS,TJNR,18,15,N,65,38,W,12,X
ROOSTER ROCK,KRRK,45,33,N,122,58,W,50,X
ROQUEMAURE,CWGQ,48,37,N,79,27,W,269,X
ROROS AIRPORT,ENRO,62,34,N,11,20,E,626,X
RORVIK/RYUM,ENRM,64,50,N,11,8,E,14,X
ROSARIO AIRPORT,SAAR,32,55,S,60,46,W,25,X
ROSCHINO,USTR,57,10,N,65,19,E,115,X
ROSE SPIT (MAPS),CWRO,54,10,N,131,40,W,7,X
ROSEAU,TDPR,15,18,N,61,23,W,72,X
ROSEAU MUNI,KROX,48,51,N,95,42,W,323,X
ROSEBURG,KRBG,43,14,N,123,21,W,154,X
ROSEMARY AGDM,CPRO,50,50,N,112,3,W,714,X
ROSETOWN EAST (A,CWRJ,51,34,N,107,55,W,586,X
ROSSO,GQNR,16,30,N,15,49,W,6,X
ROST (NOR-AFB),ENRS,67,31,N,12,5,E,4,X
ROSTOV-ON-DON,URRR,47,15,N,39,49,E,77,X
ROSWELL,KROW,33,18,N,104,30,W,1112,X
ROTA (NEMOD),EQYR,33,37,N,6,21,W,86,X
ROTA INTL AIRP,PGRO,14,11,N,145,15,E,185,X
ROTA NAVAL STATI,LERT,36,38,N,6,20,W,26,X
ROTA NAVAL STATI,KQNR,36,38,N,6,20,W,26,X
ROTE/BAA/LEKUNIK,WRKR,10,43,S,123,4,E,1,X
ROTENBURG,ETGQ,53,8,N,9,21,E,61,X
ROTH (GER-ARMY),ETHR,49,13,N,11,5,E,395,X
ROTORUA AERODROM,NZRO,38,7,S,176,19,E,294,X
ROTTERDAM AIRPOR,EHRD,51,57,N,4,27,E,-5,X
ROTUMA ISLAND,NFNR,12,30,S,177,3,E,26,X
ROUEN/BOOS (AUT),LFOP,49,22,N,1,10,E,157,X
ROUGEMONT,CMRG,45,25,N,73,3,W,54,X
ROUNDUP,KRPX,46,28,N,108,33,W,1065,X
ROURKELA (PRIVAT,VERK,22,13,N,84,52,E,196,X
ROUSSE/RUSE,LBRS,43,51,N,25,56,E,45,X
ROUVRES (FR-ARMY,LFQE,49,13,N,5,40,E,234,X
ROUYN AIRPORT,CYUY,48,12,N,78,49,W,301,X
ROVANIEMI (CIV/M,EFRO,66,34,N,25,49,E,201,X
ROVNO,UKLR,50,36,N,26,8,E,230,X
ROWAN GORILLA II,CWXO,43,52,N,60,32,W,44,X
ROWLEY ISLAND,CWRX,69,4,N,79,1,W,41,X
ROXAS/PANAY ISLA,RPVR,11,34,N,122,45,E,4,X
ROXBORO PERSON,KTDF,36,17,N,78,59,W,186,X
RPICO IS AZORES,LPPI,38,33,N,28,26,W,33,X
RUBY,PARY,64,44,N,155,28,W,199,X
RUGBY,KRUG,48,23,N,100,1,W,472,X
RUHENGERI,HRYU,1,30,S,29,37,E,1860,X
RUISSEAU CRANB,CMRY,45,7,N,73,41,W,59,X
RUMBEK,HSMK,6,47,N,29,41,E,418,X
RUNDU,FYRU,17,55,S,19,46,E,1100,X
RURRENABAQUE,SLRQ,14,25,S,67,30,W,203,X
RURUTU ISLAND,NTAR,22,25,S,151,22,W,3,X
RUSAPE,FVRU,18,31,S,32,7,E,1430,X
RUSH CITY,KROS,45,42,N,92,57,W,281,X
RUSSELL,KRSL,38,52,N,98,49,W,567,X
RUSSELLVILLE,KRUE,35,15,N,93,6,W,115,X
RUSSELTOWN,CMRU,45,3,N,73,48,W,65,X
RUSSIAN MISSION,PARS,61,46,N,161,19,W,16,X
RUSSKINSKAJA,USRK,62,11,N,74,32,E,68,X
RUSTON REGIONAL,KRSN,32,31,N,92,35,W,95,X
RUTHERFORDTON,KFQD,35,25,N,81,56,W,329,X
RUTLAND STATE,KRUT,43,31,N,72,57,W,240,X
RUTSHURU,FZNC,1,10,S,29,26,E,1275,X
RYGGE (NOR-AFB),ENRY,59,22,N,10,46,E,53,X
RZESZOW/JASIONKA,EPRZ,50,6,N,22,3,E,202,X
S ABDUL HALIM,WMKA,6,12,N,100,24,E,5,X
S ANTONIO/STINSN,KSSF,29,20,N,98,28,W,176,X
S ANTONIO-BOERNE,K5C1,29,43,N,98,42,W,423,X
S JOSE D GUAVIA,KQB7,2,34,N,72,37,W,184,X
S MARSH ISL 268,KSRN,29,7,N,91,52,W,1,X
S MARSH ISLAND,K7R8,28,18,N,91,58,W,1,X
S MARSH268  OILP,KSCF,29,7,N,91,52,W,8,X
S TIMBALIER 301B,KSTZ,28,10,N,90,40,W,25,X
S.E. SHOAL (MAPS,CWNB,41,49,N,82,28,W,195,X
SA'ADA/SADAH,OYSH,16,58,N,43,43,E,1890,X
SAARBRUECKEN,EDDR,49,13,N,7,7,E,320,X
SABADELL,LELL,41,31,N,2,6,E,250,X
SABANETTAN/TINIA,PGNT,15,0,N,145,37,E,80,X
SABANG/CUT BAU,WIAA,5,52,N,95,19,E,126,X
SABIHA GOKCEN,LTFJ,40,54,N,29,18,E,98,X
SABINE 13B  OILP,KVBS,29,29,N,93,38,W,31,X
SABINE PASS,KRPE,29,41,N,93,57,W,3,X
SABLE ISLAND,CWSA,43,55,N,60,1,W,4,X
SABLE ISLAND(APT,CYSA,43,55,N,60,0,W,4,X
SABU/TARDAMU,WRKS,10,30,S,121,49,E,26,X
SABZEVAR,OIMS,36,10,N,57,36,E,941,X
SACHANG,KQFV,38,4,N,127,31,E,158,X
SACHON (KOR-AFB),RKPS,35,4,N,128,4,E,8,X
SACHS HARBOUR(M,CYSY,72,0,N,125,16,W,86,X
SACRAMENTO,KSAC,38,30,N,121,30,W,11,X
SACRAMENTO/METRO,KSMF,38,42,N,121,36,W,6,X
SADDAM(IRQ-AFB/C,ORBS,33,16,N,44,13,E,34,X
SADO AIRPORT,RJSD,38,2,N,138,25,E,26,X
SAFFORD,KSAD,32,51,N,109,38,W,962,X
SAFI,GMMS,32,16,N,9,13,W,45,X
SAGA AIRPORT,RJFS,33,9,N,130,18,E,5,X
SAGE / JUNCTION,KSGE,41,47,N,110,30,W,2354,X
SAGHEZ,OITS,36,15,N,46,16,E,1493,X
SAGINAW,KMBS,43,32,N,84,5,W,202,X
SAGINAW/BROWNE,KHYX,43,26,N,83,52,W,183,X
SAGLEK (BAY),CWZZ,58,19,N,62,34,W,483,X
SAGONA ISL (MAPS,CWZN,47,22,N,55,48,W,64,X
SAGUACHE MUNI,K04V,38,6,N,106,10,W,2385,X
SAHAND AIRPORT,OITM,37,21,N,46,8,E,1340,X
SAIDU SHARIF,OPSS,34,49,N,72,21,E,970,X
SAINT ANTHONY,CWAX,51,22,N,55,37,W,111,X
SAINT ANTHONY,CWDW,51,23,N,56,6,W,29,X
SAINT ANTHONY AR,CYAY,51,23,N,56,4,W,28,X
SAINT GEORGE,KSGU,37,4,N,113,31,W,896,X
SAINT GEORGE,KDXZ,37,5,N,113,36,W,896,X
SAINT HUBERT (MI,EBSU,50,1,N,5,24,E,557,X
SAINT HUBERT ARP,CYHU,45,31,N,73,25,W,27,X
SAINT JOHN,CYSJ,45,19,N,65,52,W,109,X
SAINT LEONARD AR,CYSL,47,8,N,67,49,W,241,X
SAINT LOUIS,CMLI,45,52,N,73,0,W,31,X
SAINT LOUIS,GOSS,16,3,N,16,26,W,4,X
SAINT MARYS,PASM,62,4,N,163,18,W,92,X
SAINT YAN,LFLN,46,25,N,4,1,E,244,X
SAINT-BRIEUC ARM,LFRT,48,31,N,2,51,W,136,X
SAINTE-MARIE ARP,FMMS,17,4,S,49,49,E,3,X
SAIPAN/KOBLER,PGSN,15,7,N,145,43,E,65,X
SAIQ,OOSQ,23,4,N,57,38,E,1755,X
SAKON NAKHON,VTUI,17,12,N,104,7,E,172,X
SAKON NAKHON (AR,VTUS,17,8,N,104,7,E,172,X
SAL ISL/AMILCAR,GVAC,16,43,N,22,56,W,55,X
SALALAH,OOSA,17,1,N,54,4,E,20,X
SALAMANCA (CIV/M,LESA,40,57,N,5,30,W,795,X
SALEKHARD,USDD,66,35,N,66,37,E,67,X
SALEM,KSLE,44,54,N,123,0,W,59,X
SALEM (LANSING),KSVM,42,25,N,83,36,W,290,X
SALEM/LECKRONE,KSLO,38,39,N,88,58,W,175,X
SALERNO,KQD9,33,22,N,69,58,E,1149,X
SALIDA,KANK,38,32,N,106,3,W,2293,X
SALIMA,FWSM,13,45,S,34,34,E,513,X
SALINA,KSLN,38,47,N,97,39,W,385,X
SALINAS,KSNS,36,40,N,121,36,W,30,X
SALINAS/GEN ULPI,SESA,2,12,S,80,58,W,8,X
SALISBURY,KSBY,38,20,N,75,30,W,19,X
SALISBURY ROWAN,KRUQ,35,39,N,80,31,W,236,X
SALLISAW,KJSV,35,26,N,94,48,W,161,X
SALLIUT ARPT (SA,CYZG,62,10,N,75,40,W,226,X
SALMON ARM AUTOB,CWSL,50,42,N,119,16,W,351,X
SALMON/LEMHI,KSMN,45,7,N,113,52,W,1233,X
SALON (FAFB),LFMY,43,36,N,5,5,E,60,X
SALT LAKE CITY,KSLC,40,47,N,111,58,W,1286,X
SALT LAKE MUNI,KU42,40,37,N,112,0,W,1402,X
SALT POINT,KP92,29,34,N,91,32,W,1,X
SALTA AIRPORT,SASA,24,51,S,65,28,W,1216,X
SALTILLO,MMIO,25,33,N,100,56,W,1790,X
SALTO,SUSO,31,26,S,57,59,W,34,X
SALTPOND,DGAS,5,12,N,1,4,W,47,X
SALVADOR/DOIS JU,SBSV,12,54,S,38,19,W,6,X
SALZBURG AIRPORT,LOWS,47,48,N,13,0,E,450,X
SAM MBAKWE,DNIM,5,26,N,7,12,E,114,X
SAMARINDA/TEMIND,WRLS,0,37,S,117,9,E,230,X
SAMARKAND,UTSS,39,42,N,67,0,E,724,X
SAMBAVA SUD,FMNS,14,16,S,50,10,E,5,X
SAME,HTSE,4,4,S,37,43,E,872,X
SAMEDAN,LSZS,46,32,N,9,53,E,1706,X
SAMFYA,FLYA,11,20,S,29,31,E,1171,X
SAM-NEUA,VLSN,20,25,N,104,4,E,1000,X
SAMOS AIRPORT,LGSM,37,41,N,26,55,E,6,X
SAMSUN AIRPORT,LTAQ,41,16,N,36,17,E,168,X
SAMUI,VTSM,9,33,N,100,4,E,17,X
SAN,GASN,13,19,N,4,49,W,284,X
SAN ANDRES ISLAN,SKSP,12,34,N,81,43,W,-2,X
SAN ANGELO,KSJT,31,22,N,100,30,W,576,X
SAN ANTONIO,KSAT,29,32,N,98,28,W,243,X
SAN ANTONIO BANO,MUSA,22,52,N,82,31,W,50,X
SAN ANTONIO OEST,SAVO,40,45,S,65,2,W,7,X
SAN ANTONIO TACH,SVSA,7,50,N,72,27,W,378,X
SAN BERNARDINO,KSBD,34,6,N,117,14,W,353,X
SAN BORJA/CAPT G,SLSB,14,52,S,66,45,W,194,X
SAN CARLOS,SAMS,33,46,S,69,1,W,940,X
SAN CARLOS AIRPO,KSQL,37,31,N,122,15,W,1,X
SAN CARLOS BARIL,SAZS,41,8,S,71,10,W,840,X
SAN CLEMENTE IS.,KNUC,33,1,N,118,34,W,55,X
SAN CRISTOBAL IS,SEST,0,54,S,89,35,W,6,X
SAN DIEGO,KSAN,32,44,N,117,11,W,12,X
SAN DIEGO/BROWN,KSDM,32,35,N,117,0,W,159,X
SAN DIEGO/MNTGMY,KMYF,32,49,N,117,8,W,136,X
SAN DIEGO/SANTEE,KSEE,32,49,N,116,58,W,117,X
SAN FELIPE,SVSP,10,16,N,68,45,W,232,X
SAN FERNANDO,SADF,34,27,S,58,35,W,4,X
SAN FERNANDO APU,SVSR,7,54,N,67,25,W,48,X
SAN FRANCISCO,KSFO,37,37,N,122,22,W,3,X
SAN IGNACIO DE M,SLSM,14,58,S,65,38,W,160,X
SAN IGNACIO VELA,SLSI,16,22,S,60,57,W,413,X
SAN JAVIER,SLJV,16,16,S,62,28,W,520,X
SAN JAVIER(MIL/C,LELC,37,46,N,0,48,W,3,X
SAN JOAQUIN,SLJO,13,4,S,64,40,W,140,X
SAN JOSE,KSJC,37,22,N,121,55,W,24,X
SAN JOSE,SLJE,17,49,S,60,45,W,284,X
SAN JOSE (CIV/M,MGSJ,13,55,N,90,50,W,9,X
SAN JOSE DEL CAB,MMSD,23,8,N,109,42,W,109,X
SAN JOSE GUAVIAR,SKSJ,2,34,N,72,37,W,155,X
SAN JOSE/MINDORO,RPUH,12,20,N,121,1,E,3,X
SAN JOSE/REID,KRHV,37,19,N,121,49,W,41,X
SAN JUAN AIRPORT,SANU,31,34,S,68,25,W,598,X
SAN JUAN DE MARC,SPJN,15,21,S,75,8,W,40,X
SAN JUAN LOS MOR,SVJM,9,55,N,67,22,W,429,X
SAN JUAN/CAYEY,TJUA,18,7,N,66,5,W,852,X
SAN JUAN/WFO,TJSJ,18,26,N,66,1,W,21,X
SAN JULIAN AIRPO,SAWJ,49,19,S,67,46,W,62,X
SAN JULIAN(MIL/C,MUSJ,22,6,N,84,9,W,30,X
SAN LORENZO,SESL,1,16,N,78,50,W,40,X
SAN LUIS AIRPORT,SAOU,33,16,S,66,20,W,702,X
SAN LUIS OBISPO,KSBP,35,14,N,120,38,W,59,X
SAN LUIS POTOSI,MMSP,22,15,N,100,56,W,1903,X
SAN MARCOS,KHYI,29,53,N,97,52,W,182,X
SAN MARCOS,KT98,29,53,N,97,52,W,182,X
SAN MARTIN,KE16,37,5,N,121,36,W,86,X
SAN MARTIN,SAMI,33,4,S,68,25,W,653,X
SAN MIGUEL,MSSM,13,26,N,88,7,W,80,X
SAN NICOLAS ISLA,KNSI,33,13,N,119,27,W,154,X
SAN PEDRO,DISP,4,45,N,6,39,W,30,X
SAN RAFAEL AIRPO,SAMR,34,34,S,68,24,W,748,X
SAN SEBASTIAN/FU,LESO,43,21,N,1,48,W,8,X
SAN TOME (PRIVAT,SVST,8,56,N,64,9,W,262,X
SANA'A,,15,22,N,44,12,E,2190,X
SANA'A (CIV/MIL),OYSN,15,29,N,44,13,E,2190,X
SANANA,WAPN,2,6,S,125,58,E,2,X
SANANDAJ,OICS,35,14,N,47,0,E,1373,X
SAND HEADS (LS),CWVF,49,6,N,123,18,W,1,X
SAND POINT,PASD,55,20,N,160,30,W,7,X
SANDAKAN/KALIMAN,WBKS,5,54,N,118,4,E,13,X
SANDANE/ANDA,ENSD,61,49,N,6,7,E,60,X
SANDBERG,KSDB,34,45,N,118,43,W,1377,X
SANDERSON (RAMOS,KP07,30,10,N,102,25,W,865,X
SANDNESSJOEN/STO,ENST,65,58,N,12,28,E,17,X
SANDOA,FZSD,9,37,S,22,51,E,921,X
SANDOWAY/MAZIN,VBSY,18,28,N,94,20,E,11,X
SANDSPIT AIRPORT,CYZP,53,15,N,131,49,W,6,X
SANDY LAKE,CZSJ,53,4,N,93,21,W,290,X
SANFORD,KTTA,35,35,N,79,6,W,75,X
SANFORD MUNI,KSFM,43,23,N,70,43,W,74,X
SANFORD/ORLANDO,KSFB,28,46,N,81,13,W,17,X
SANGJU,RKTS,36,25,N,128,10,E,150,X
SANGJU RWS,KQEW,36,25,N,128,9,E,91,X
SANGKULIRANG,WRLU,1,0,N,118,0,E,210,X
SANGLEY POINT AB,RPMS,14,30,N,120,55,E,4,X
SANGSTER/MONTEG,MKJS,18,30,N,77,55,W,1,X
SANIA RAMEL/TETO,GMTN,35,34,N,5,19,W,10,X
SANIKILUAQ AIRPO,CYSK,56,32,N,79,15,W,26,X
SANLIURFA GAP,LTCS,37,27,N,38,54,E,825,X
SANTA ANA,MSSA,13,58,N,89,34,W,725,X
SANTA ANA DE YAC,SLSA,13,46,S,65,26,W,144,X
SANTA BARBARA,KSBA,34,26,N,119,51,W,3,X
SANTA BARBARA ZU,SVSZ,8,58,N,71,57,W,10,X
SANTA CLARA,MUSC,22,30,N,79,57,W,103,X
SANTA CRUZ (MIL),SBSC,22,55,S,43,43,W,3,X
SANTA CRUZ AIRPO,SAWU,50,1,S,68,34,W,111,X
SANTA CRUZ ISLAN,AGGL,10,41,S,165,48,E,24,X
SANTA CRUZ/EL TR,SLET,17,48,S,63,10,W,414,X
SANTA ELENA UAIR,SVSE,4,35,N,61,7,W,907,X
SANTA FE,KSAF,35,37,N,106,6,W,1930,X
SANTA ISABEL MOR,SBSY,11,34,S,50,40,W,197,X
SANTA LUCIA,MUSL,22,40,N,83,58,W,24,X
SANTA MARIA,KSMX,34,54,N,120,27,W,74,X
SANTA MARIA DI L,LIBY,39,49,N,18,21,E,112,X
SANTA MARIA ISLA,LPAZ,36,58,N,25,10,W,100,X
SANTA MARIA(CV/M,SBSM,29,43,S,53,42,W,85,X
SANTA MARTA/SIMO,SKSM,11,7,N,74,13,W,4,X
SANTA MONICA,KSMO,34,1,N,118,27,W,57,X
SANTA ROSA,KSTS,38,30,N,122,49,W,39,X
SANTA ROSA AIRPO,SAZR,36,34,S,64,16,W,191,X
SANTA ROSA DE C,MHSR,14,47,N,88,47,W,1079,X
SANTA TERESA,K5T6,31,53,N,106,42,W,1253,X
SANTA YNEZ,KIZA,34,36,N,120,4,W,205,X
SANTANDER/PARAYA,LEXJ,43,25,N,3,49,W,6,X
SANT'ANGELO (MOU,LIBE,41,43,N,15,57,E,844,X
SANTAREM INTL AR,SBSN,2,25,S,54,47,W,72,X
SANTIAGO,MPSA,8,4,N,80,56,W,83,X
SANTIAGO DE CUB,MUCU,19,58,N,75,50,W,76,X
SANTIAGO DEL EST,SANE,27,46,S,64,17,W,199,X
SANTIAGO INTL A,MDST,19,24,N,70,36,W,184,X
SANTIAGO/LABACOL,LEST,42,53,N,8,25,W,367,X
SANTO ANGELO ARP,SBNM,28,16,S,54,10,W,322,X
SANTO DOMINGO,TSDM,18,28,N,69,53,W,14,X
SANTO DOMINGO,SCSN,33,38,S,71,37,W,75,X
SANTO DOMINGO/MA,SVSO,7,34,N,72,4,W,327,X
SANTORINI ISLAND,LGSR,36,24,N,25,29,E,40,X
SANTOS (BRAZ-AFB,SBST,23,55,S,46,17,W,3,X
SANTOS DUMONT/RI,SBRJ,22,53,S,43,10,W,3,X
SANYA/FENGHUANG,ZJSY,18,18,N,109,25,E,27,X
SAO CARLOS(PRIVA,SBSA,22,1,S,47,52,W,856,X
SAO GABRIEL CACH,SBUA,0,9,S,66,59,W,79,X
SAO JOSE DOS CAM,SBSJ,23,13,S,45,52,W,646,X
SAO JOSE PRETO,SBSR,20,48,S,49,24,W,543,X
SAO LUIS/MARECHA,SBSL,2,36,S,44,13,W,53,X
SAO PAULO/CONGON,SBSP,23,37,S,46,38,W,803,X
SAO PEDRO DA ALD,SBES,22,49,S,42,6,W,11,X
SAO ROQUE/S. PAU,SBRQ,23,31,S,47,7,W,750,X
SAO TOME IL/SALA,FPST,0,22,N,6,43,E,13,X
SAPPORO (JGSDF/C,RJCO,43,7,N,141,22,E,11,X
SARAJEVO/BUTMIR,LQSA,43,49,N,18,19,E,511,X
SARAKHS,OIMC,36,30,N,61,4,E,288,X
SARANAC LAKE,KSLK,44,24,N,74,12,W,498,X
SARASOTA/BRADENT,KSRQ,27,24,N,82,34,W,18,X
SARATOGA SPRINGS,K5B2,43,3,N,73,52,W,132,X
SARATOV/TSENTRAL,UWSS,51,34,N,46,4,E,166,X
SARAVANE,VLSV,15,40,N,106,25,E,168,X
SAREJEVO BUTIMIR,KQKO,43,52,N,18,26,E,510,X
SARGODHA (PAK-AF,OPSR,32,2,N,72,40,E,188,X
SARH (CIV/MIL),FTTA,9,9,N,18,22,E,365,X
SARMI/ORAI,WAJI,1,49,S,138,43,E,3,X
SARNIA AIRPORT,CYZR,43,0,N,82,18,W,181,X
SARTINE ISL (MAP,CWFG,50,49,N,128,54,W,111,X
SARY DASHTE NAZ,OINZ,36,38,N,53,12,E,11,X
SARZANA/LUNI,LIQW,44,4,N,9,58,E,10,X
SASABO NAS,RJFW,33,10,N,129,43,E,3,X
SASKATOON AIRPOR,CYXE,52,10,N,106,42,W,504,X
SASSANDRA/DREWIN,DISS,4,57,N,6,4,W,66,X
SATENAS (SWE-AFB,ESIB,58,25,N,12,41,E,74,X
SATNA,VIST,24,34,N,80,49,E,317,X
SATU MARE,LRSM,47,42,N,22,53,E,124,X
SATUN (THAI-AFB),VTSA,6,39,N,100,4,E,6,X
SATURNA ISL (MAP,CWEZ,48,47,N,123,3,W,7,X
SAUCE VIEJO AIRP,SAAV,31,41,S,60,49,W,18,X
SAUK CENTRE,KD39,45,42,N,94,56,W,380,X
SAULT STE MARIE,KSSM,46,28,N,84,22,W,221,X
SAULT STE MARIE,KANJ,46,28,N,84,22,W,218,X
SAULT STE MARIE,CYAM,46,28,N,84,31,W,192,X
SAUMLAKI,WAPI,7,58,S,131,18,E,24,X
SAURIMO/HENRIQUE,FNSA,9,41,S,20,26,E,1093,X
SAVANNA/TRITOWN,KSFY,42,3,N,90,7,W,188,X
SAVANNAH,KSAV,32,7,N,81,12,W,14,X
SAVANNAH HARDIN,KSNH,35,10,N,88,13,W,144,X
SAVANNAH/HUNTER,KSVN,32,1,N,81,9,W,13,X
SAVANNAKHET(CV/M,VLSK,16,33,N,104,45,E,155,X
SAVE,DBBS,8,1,N,2,28,E,200,X
SAVONLINNA (AUT),EFSA,61,57,N,28,56,E,95,X
SAVOONGA,PASA,63,41,N,170,30,W,16,X
SAVUSAVU AIRPORT,NFNS,16,49,S,179,20,E,13,X
SAYABOURY,VLSB,19,13,N,101,43,E,326,X
SAYUN,OYSY,15,58,N,48,47,E,701,X
SCAMMON BAY,PACM,61,51,N,165,34,W,4,X
SCAMPTON RAF,EGXP,53,18,N,0,33,W,61,X
SCAPPOOSE,KSPB,45,46,N,122,52,W,14,X
SCATSA/SHETLAND,EGPM,60,25,N,1,18,W,22,X
SCHAFFEN,EBDT,51,1,N,5,4,E,54,X
SCHEFFERVILLE AR,CYKL,54,47,N,66,49,W,521,X
SCHENECTADY AIRP,KSCH,42,51,N,73,55,W,115,X
SCHLESWIG(GER-NA,ETNS,54,28,N,9,31,E,25,X
SCHULER AGDM,CXSC,50,18,N,110,5,W,800,X
SCHWAEBISCH HALL,EDTY,49,7,N,9,47,E,400,X
SCHWAZ (HELIPORT,LOXS,47,19,N,11,41,E,543,X
SCHWEINFURT 7WS,KQKT,50,3,N,10,10,E,240,X
SCHWERIN-PARCHIM,EDOP,53,26,N,11,47,E,51,X
SCIACCA,LICS,37,31,N,13,3,E,125,X
SCILLY SAINT MAR,EGHE,49,55,N,6,17,W,31,X
SCOBEY,K9S2,48,48,N,105,26,W,742,X
SCORESBYSUND,BGSC,70,28,N,21,58,W,66,X
SCOTT AFB/BELLEV,KBLV,38,32,N,89,50,W,138,X
SCOTT CITY,KTQK,38,28,N,100,53,W,904,X
SCOTTSBLUFF,KBFF,41,52,N,103,35,W,1203,X
SCOTTSBORO,K4A6,34,41,N,86,0,W,198,X
SCOTTSDALE,KSDL,33,37,N,111,55,W,447,X
SCUDDER POINT,CWZD,52,27,N,131,14,W,5,X
SCURO MOUNTAIN,LIBQ,39,19,N,16,23,E,1720,X
SCUSCIUBAN,HCMS,10,18,N,50,13,E,344,X
SDE DOV AIRPORT,LLSD,32,7,N,34,47,E,14,X
SD-WY BORDR US85,KNE0,44,11,N,104,3,W,1940,X
SEA LION CAVES,K2SL,44,7,N,124,8,W,121,X
SEARCY,KSRC,35,13,N,91,44,W,80,X
SEATTLE/BOEING,KBFI,47,33,N,122,19,W,4,X
SEATTLE/METRO,KSEA,47,27,N,122,19,W,136,X
SEBASTIAN,KX26,27,49,N,80,30,W,6,X
SEBHA (AUT),HLLS,26,59,N,14,28,E,435,X
SEDALIA,KDMO,38,43,N,93,10,W,274,X
SEDONA,KSEZ,34,51,N,111,47,W,1473,X
SEEB INTL/MUSCAT,OOMS,23,34,N,58,16,E,8,X
SEEB/MUSCAT,KQGL,23,35,N,58,17,E,8,X
SEFWI BEKWAI,DGSB,6,12,N,2,19,W,172,X
SEGOU,GASG,13,24,N,6,9,W,289,X
SEGUNDO CORRAL A,SCSR,42,4,S,71,52,W,366,X
SEIGENBURG RANGE,KQKW,48,45,N,11,48,E,397,X
SEINAJOKI-ILMAJO,EFSI,62,42,N,22,50,E,91,X
SELAPARANG,WADA,8,32,S,116,4,E,3,X
SELAWIK,PASK,66,36,N,160,0,W,8,X
SELDOVIA,PASO,59,27,N,151,42,W,9,X
SELEBI PHIKWE,FBSP,22,3,S,27,49,E,892,X
SELF STRIP/POLK,KDNK,31,7,N,93,9,W,114,X
SELFRIDGE ANGB,KMTC,42,37,N,82,49,W,177,X
SELINSGROVE,KSEG,40,49,N,76,52,W,134,X
